tag_id,created_at,updated_at,ttype,content,edge_id
1,2025-12-04 17:35:42.281844,2025-12-04 17:35:42.281844,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",1
2,2025-12-04 17:35:42.294565,2025-12-04 17:35:42.294565,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",2
3,2025-12-04 17:35:42.306277,2025-12-04 17:35:42.306277,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",3
4,2025-12-04 17:35:42.31966,2025-12-04 17:35:42.31966,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",4
5,2025-12-04 17:35:52.406039,2025-12-04 17:35:52.406039,SourceProperty,"{""name"": ""DNS"", ""confidence"": 100}",5
6,2025-12-04 17:35:52.42086,2025-12-04 17:35:52.42086,SourceProperty,"{""name"": ""DNS"", ""confidence"": 100}",6
7,2025-12-04 17:35:52.434008,2025-12-04 17:35:52.434008,SourceProperty,"{""name"": ""DNS"", ""confidence"": 100}",7
8,2025-12-04 17:35:52.444839,2025-12-04 17:35:52.444842,SourceProperty,"{""name"": ""DNS"", ""confidence"": 100}",8
9,2025-12-04 17:35:52.736563,2025-12-04 17:35:52.736563,SourceProperty,"{""name"": ""DNS"", ""confidence"": 100}",9
10,2025-12-04 17:35:52.749299,2025-12-04 17:35:52.7493,SourceProperty,"{""name"": ""DNS"", ""confidence"": 100}",10
11,2025-12-04 17:35:55.001823,2025-12-04 17:35:55.001823,SourceProperty,"{""name"": ""BGP.Tools"", ""confidence"": 100}",11
13,2025-12-04 17:35:55.05717,2025-12-04 17:35:55.05717,SourceProperty,"{""name"": ""DNS"", ""confidence"": 100}",13
14,2025-12-04 17:36:00.679527,2025-12-04 17:36:00.679527,SourceProperty,"{""name"": ""BGP.Tools"", ""confidence"": 100}",14
16,2025-12-04 17:36:00.728629,2025-12-04 17:36:00.728629,SourceProperty,"{""name"": ""DNS"", ""confidence"": 100}",16
17,2025-12-04 17:36:01.175918,2025-12-04 17:36:01.175919,SourceProperty,"{""name"": ""RDAP"", ""confidence"": 100}",17
18,2025-12-04 17:36:01.197966,2025-12-04 17:36:01.197966,SourceProperty,"{""name"": ""RDAP"", ""confidence"": 100}",18
