edge_id,created_at,updated_at,etype,content,from_entity_id,to_entity_id
1,2025-12-04 17:35:42.27601,2025-12-04 17:35:42.275331,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 1}}",1,2
2,2025-12-04 17:35:42.290144,2025-12-04 17:35:42.289918,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 1}}",1,3
3,2025-12-04 17:35:42.302159,2025-12-04 17:35:42.302018,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 1}}",1,4
4,2025-12-04 17:35:42.315594,2025-12-04 17:35:42.31533,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 1}}",1,5
5,2025-12-04 17:35:52.400648,2025-12-04 17:35:52.400404,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 2821, ""class"": 1, ""rr_type"": 2}}",1,6
6,2025-12-04 17:35:52.415322,2025-12-04 17:35:52.415151,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 2083, ""class"": 1, ""rr_type"": 2}}",1,7
7,2025-12-04 17:35:52.430066,2025-12-04 17:35:52.4298,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 2557, ""class"": 1, ""rr_type"": 2}}",1,8
8,2025-12-04 17:35:52.441061,2025-12-04 17:35:52.440892,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3312, ""class"": 1, ""rr_type"": 2}}",1,9
9,2025-12-04 17:35:52.732452,2025-12-04 17:35:52.732262,PrefDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 300, ""class"": 1, ""rr_type"": 15}, ""preference"": 5}",1,10
10,2025-12-04 17:35:52.744515,2025-12-04 17:35:52.744198,PrefDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 300, ""class"": 1, ""rr_type"": 15}, ""preference"": 5}",1,11
27,2025-12-04 17:36:02.51167,2025-12-04 19:27:17.929549,SimpleRelation,"{""label"": ""url""}",26,27
28,2025-12-04 17:36:02.529866,2025-12-04 19:27:17.943042,SimpleRelation,"{""label"": ""id""}",26,28
11,2025-12-04 17:35:54.997603,2025-12-04 17:35:55.03112,SimpleRelation,"{""label"": ""contains""}",12,2
13,2025-12-04 17:35:55.052748,2025-12-04 17:35:55.052624,SimpleRelation,"{""label"": ""ptr_record""}",2,14
29,2025-12-04 17:36:02.545251,2025-12-04 19:27:17.967712,SimpleRelation,"{""label"": ""phone""}",26,29
32,2025-12-04 17:36:02.577433,2025-12-04 19:27:18.040712,SimpleRelation,"{""label"": ""url""}",30,31
14,2025-12-04 17:36:00.675327,2025-12-04 17:36:00.703185,SimpleRelation,"{""label"": ""contains""}",15,3
16,2025-12-04 17:36:00.724345,2025-12-04 17:36:00.724239,SimpleRelation,"{""label"": ""ptr_record""}",3,16
17,2025-12-04 17:36:01.171936,2025-12-04 17:36:01.171792,SimpleRelation,"{""label"": ""registration""}",12,17
18,2025-12-04 17:36:01.193617,2025-12-04 17:36:01.1934,SimpleRelation,"{""label"": ""rdap_url""}",17,18
33,2025-12-04 17:36:02.592674,2025-12-04 19:27:18.061847,SimpleRelation,"{""label"": ""id""}",30,32
20,2025-12-04 17:36:01.2245,2025-12-04 17:36:01.224187,SimpleRelation,"{""label"": ""registrant""}",17,19
21,2025-12-04 17:36:01.230626,2025-12-04 17:36:01.230126,SimpleRelation,"{""label"": ""registration""}",13,21
22,2025-12-04 17:36:01.265143,2025-12-04 17:36:01.264935,SimpleRelation,"{""label"": ""rdap_url""}",21,22
34,2025-12-04 17:36:02.608365,2025-12-04 19:27:18.084074,SimpleRelation,"{""label"": ""phone""}",30,33
23,2025-12-04 17:36:01.285799,2025-12-04 17:36:01.285592,SimpleRelation,"{""label"": ""registrant""}",21,19
4767,2025-12-04 19:37:58.421015,2025-12-04 19:37:58.420563,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 12}}",3550,1856
24,2025-12-04 17:36:01.88702,2025-12-04 17:36:01.88676,SimpleRelation,"{""label"": ""registration""}",15,17
25,2025-12-04 17:36:02.473026,2025-12-04 17:36:02.472824,SimpleRelation,"{""label"": ""id""}",25,23
15,2025-12-04 17:36:00.684977,2025-12-04 19:42:32.202984,SimpleRelation,"{""label"": ""announces""}",13,15
46,2025-12-04 17:36:12.122023,2025-12-04 19:42:32.220597,SimpleRelation,"{""label"": ""announces""}",13,39
12,2025-12-04 17:35:55.013402,2025-12-04 19:42:32.223427,SimpleRelation,"{""label"": ""announces""}",13,12
30,2025-12-04 17:36:02.553732,2025-12-04 17:36:02.553517,SimpleRelation,"{""label"": ""abuse_contact""}",17,26
31,2025-12-04 17:36:02.57271,2025-12-04 17:36:02.572449,SimpleRelation,"{""label"": ""abuse_contact""}",21,26
36,2025-12-04 17:36:02.616805,2025-12-04 17:36:02.616619,SimpleRelation,"{""label"": ""admin_contact""}",17,30
37,2025-12-04 17:36:02.618291,2025-12-04 17:36:02.618097,SimpleRelation,"{""label"": ""admin_contact""}",21,30
35,2025-12-04 17:36:02.608389,2025-12-04 17:36:03.521701,SimpleRelation,"{""label"": ""phone""}",30,33
38,2025-12-04 17:36:04.431851,2025-12-04 17:36:04.431592,SimpleRelation,"{""label"": ""registration_agency""}",28,35
40,2025-12-04 17:36:04.446269,2025-12-04 17:36:04.446071,SimpleRelation,"{""label"": ""registration_agency""}",32,35
39,2025-12-04 17:36:04.437148,2025-12-04 17:36:04.452968,SimpleRelation,"{""label"": ""fqdn""}",35,36
41,2025-12-04 17:36:06.469541,2025-12-04 17:36:06.489957,SimpleRelation,"{""label"": ""contains""}",37,4
43,2025-12-04 17:36:06.506077,2025-12-04 17:36:06.505936,SimpleRelation,"{""label"": ""ptr_record""}",4,38
44,2025-12-04 17:36:08.421641,2025-12-04 17:36:08.421458,SimpleRelation,"{""label"": ""registration""}",37,17
45,2025-12-04 17:36:12.113483,2025-12-04 17:36:12.130227,SimpleRelation,"{""label"": ""contains""}",39,5
47,2025-12-04 17:36:12.145611,2025-12-04 17:36:12.145419,SimpleRelation,"{""label"": ""ptr_record""}",5,40
48,2025-12-04 17:36:12.94717,2025-12-04 17:36:12.946817,SimpleRelation,"{""label"": ""registration""}",39,17
49,2025-12-04 17:36:20.992963,2025-12-04 17:36:20.992722,SimpleRelation,"{""label"": ""id""}",42,41
50,2025-12-04 17:36:20.998882,2025-12-04 17:36:20.998665,SimpleRelation,"{""label"": ""verified_for""}",1,42
51,2025-12-04 17:36:21.977299,2025-12-04 17:36:21.977095,SimpleRelation,"{""label"": ""registration""}",1,106
