tag_id,created_at,updated_at,ttype,content,entity_id
1342,2025-12-04 17:36:52.245405,2025-12-04 17:36:52.245405,SimpleProperty,"{""property_name"": ""last_monitored"", ""property_value"": ""DNS-CNAME""}",329
2,2025-12-04 17:35:25.391097,2025-12-04 17:35:25.391097,DNSRecordProperty,"{""data"": ""dGFyZ2V0"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 16}, ""property_name"": ""dns_record""}",1
3,2025-12-04 17:35:25.394666,2025-12-04 17:35:25.394666,DNSRecordProperty,"{""data"": ""NS_monitor"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 16}, ""property_name"": ""dns_record""}",1
4,2025-12-04 17:35:25.398651,2025-12-04 17:35:25.398651,DNSRecordProperty,"{""data"": ""MS=ms72649311"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 16}, ""property_name"": ""dns_record""}",1
5,2025-12-04 17:35:25.401951,2025-12-04 17:35:25.401951,DNSRecordProperty,"{""data"": ""ZOOM_verify_2p2yDsdgUYHCcfIzbyaTmE"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 16}, ""property_name"": ""dns_record""}",1
6,2025-12-04 17:35:25.404848,2025-12-04 17:35:25.404848,DNSRecordProperty,"{""data"": ""brevo-code:7e6bbbf1fc671ea0755795690d17ba46"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 16}, ""property_name"": ""dns_record""}",1
4669,2025-12-04 19:40:58.352247,2025-12-04 19:40:58.352247,SourceProperty,"{""name"": ""RDAP"", ""confidence"": 100}",3967
8,2025-12-04 17:35:25.411513,2025-12-04 17:35:25.411513,DNSRecordProperty,"{""data"": ""cursor-domain-verification-24twda=do9ewEVwI4YsyRrgioGCPpp12"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 16}, ""property_name"": ""dns_record""}",1
9,2025-12-04 17:35:25.414277,2025-12-04 17:35:25.414277,DNSRecordProperty,"{""data"": ""uber-domain-verification=4caf1469-f454-49bf-b0b2-1bb84bbfeb02"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 16}, ""property_name"": ""dns_record""}",1
10,2025-12-04 17:35:25.41817,2025-12-04 17:35:25.41817,DNSRecordProperty,"{""data"": ""uber-domain-verification=7fc32e4d-8ea0-466f-a1f9-d870b178b74d"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 16}, ""property_name"": ""dns_record""}",1
11,2025-12-04 17:35:25.421422,2025-12-04 17:35:25.421422,DNSRecordProperty,"{""data"": ""extensis-domain-verification=3911f3c0-e69c-4d75-aa8a-33afa0520d00"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 16}, ""property_name"": ""dns_record""}",1
12,2025-12-04 17:35:25.42434,2025-12-04 17:35:25.42434,DNSRecordProperty,"{""data"": ""google-site-verification=2saealyvcdakrTY4LOg3GjblevTIYAJ4p_Ihwf3OrbU"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 16}, ""property_name"": ""dns_record""}",1
13,2025-12-04 17:35:25.427901,2025-12-04 17:35:25.427901,DNSRecordProperty,"{""data"": ""apple-domain-verification=oc-ywTgysCFxVjoVZ7Alg51HbTSY0D7HhKU_9om-EFg"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 16}, ""property_name"": ""dns_record""}",1
14,2025-12-04 17:35:25.430828,2025-12-04 17:35:25.430828,DNSRecordProperty,"{""data"": ""v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com include:aspmx.pardot.com ~all"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 16}, ""property_name"": ""dns_record""}",1
